name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,trade_count
imc_day_-2,imc,669.0,669.0,0.0,800823.0,86
imc_day_-1,imc,1554.0,1554.0,0.0,899327.0,74
imc_day_0,imc,1353.0,1353.0,0.0,801300.0,78
av_COFFEE_d0,real,0.0,0.0,0.0,0.0,0
av_COFFEE_d3,real,-4943.0,-4943.0,0.0,10951.0,71
av_COFFEE_d8,real,-2608.0,-2608.0,0.0,18626.0,36
av_CORN_d11,real,-8050.0,-8050.0,0.0,12193.0,16
av_CORN_d6,real,1091.0,1091.0,0.0,1099.0,2
av_COTTON_d1,real,-10677.0,-10677.0,0.0,11680.0,6
av_COTTON_d4,real,-697.0,-697.0,0.0,4057.0,6
av_COTTON_d9,real,-24376.0,-24376.0,0.0,24709.0,31
av_SUGAR_d2,real,10443.0,10443.0,0.0,6080.0,6
av_SUGAR_d7,real,0.0,0.0,0.0,0.0,0
av_WHEAT_d10,real,-17164.0,-17164.0,0.0,19804.0,16
av_WHEAT_d5,real,-3426.0,-3426.0,0.0,6306.0,6
yf_ADM_d0,real,0.0,0.0,0.0,0.0,0
yf_ADM_d13,real,-697.0,-697.0,0.0,4057.0,6
yf_ADM_d5,real,-4331.0,-4331.0,0.0,5371.0,6
yf_BGS_d0,real,0.0,0.0,0.0,0.0,0
yf_BGS_d13,real,-17394.0,-17394.0,0.0,19674.0,24
yf_BGS_d5,real,-4056.0,-4056.0,0.0,4616.0,6
yf_MKC_d0,real,-6087.0,-6087.0,0.0,8780.0,44
yf_MKC_d13,real,-17164.0,-17164.0,0.0,19804.0,16
yf_MKC_d5,real,-670.0,-670.0,0.0,7880.0,13
yf_ZC_F_d0,real,-28250.0,-28250.0,0.0,28250.0,124
yf_ZC_F_d13,real,0.0,0.0,0.0,0.0,0
yf_ZC_F_d5,real,11445.0,11445.0,0.0,6840.0,7
yf_ZS_F_d0,real,-9027.0,-9027.0,0.0,12707.0,17
yf_ZS_F_d13,real,8482.0,8482.0,0.0,6800.0,6
yf_ZS_F_d5,real,-6187.0,-6187.0,0.0,12246.0,16
yf_ZW_F_d0,real,-36048.0,-36048.0,0.0,36913.0,109
yf_ZW_F_d13,real,-5270.0,-5270.0,0.0,5270.0,5
yf_ZW_F_d5,real,10443.0,10443.0,0.0,6080.0,6
bear_normal_s0,scenario,85045.0,85045.0,0.0,3730.0,779
bear_volatile_s0,scenario,131561.0,131561.0,0.0,8038.0,1051
bull_normal_s0,scenario,85045.0,85045.0,0.0,3730.0,779
crash_normal_s0,scenario,85045.0,85045.0,0.0,3730.0,779
crash_volatile_s0,scenario,131561.0,131561.0,0.0,8038.0,1051
high_vol_volatile_s0,scenario,131561.0,131561.0,0.0,8038.0,1051
sawtooth_normal_s0,scenario,85079.0,85079.0,0.0,3280.0,807
sawtooth_volatile_s0,scenario,135015.0,135015.0,0.0,7962.0,1103
sideways_drift_s0,scenario,-17170.0,-17170.0,0.0,25026.0,605
sideways_normal_s0,scenario,85045.0,85045.0,0.0,3730.0,779
spike_crash_volatile_s0,scenario,131561.0,131561.0,0.0,8038.0,1051
v_recovery_drift_s0,scenario,-17170.0,-17170.0,0.0,25026.0,605
v_recovery_normal_s0,scenario,85045.0,85045.0,0.0,3730.0,779
